id,fecha,loteria,p1,p2,p3,score,metodo,status,resultado,real_p1,real_p2,real_p3,pago,total_sorteos,chi2_significativo,mi_nivel,markov_confidence,top5,generado_en
p_20260504_205603,2026-05-04,Nacional Noche,67,82,84,55.59,Sistema,pending,,,,,,1852,False,Baja,99,"67,82,84,20,74",p_20260504_2056
p_20260505_171504,2026-05-05,Gana Más,20,61,64,64.4,Sistema,verified,miss,68,50,93,0.0,1873,False,Baja,79,"20,61,64,40,23",p_20260505_1715
p_20260505_205005,2026-05-05,Nacional Noche,94,54,61,64.4,Sistema,verified,miss,42,63,72,0.0,1853,False,Baja,98,"94,54,61,95,43",p_20260505_2050
p_20260506_044422,2026-05-06,Gana Más,34,68,76,51.5,Sistema,pending,,,,,,1874,False,Baja,99,"34,68,76,36,19",p_20260506_0444
p_20260506_045542,2026-05-06,Gana Más,36,19,58,46.65,Sistema,verified,miss,74,65,02,0.0,1874,False,Baja,99,"36,19,58,06,65",p_20260506_0455
p_20260506_210024,2026-05-06,Nacional Noche,74,90,43,53.36,Sistema,verified,miss,51,74,58,0.0,1854,False,Baja,99,"74,90,43,63,01",p_20260506_2100
p_20260507_174211,2026-05-07,Gana Más,65,06,23,68.99,Sistema,verified,miss,39,42,82,0.0,1875,False,Baja,86,"65,06,23,09,74",p_20260507_1742
p_20260507_205509,2026-05-07,Nacional Noche,59,63,23,56.11,Sistema,verified,miss,39,87,17,0.0,1855,False,Baja,81,"59,63,23,79,96",p_20260507_2055
p_20260508_170322,2026-05-08,Gana Más,20,42,01,70.63,Sistema,verified,miss,93,64,13,0.0,1876,False,Baja,73,"20,42,01,64,53",p_20260508_1703
p_20260508_204425,2026-05-08,Nacional Noche,11,42,30,53.07,Sistema,verified,miss,51,41,55,0.0,1856,False,Baja,99,"11,42,30,74,73",p_20260508_2044
p_20260509_164201,2026-05-09,Gana Más,74,02,39,51.1,Sistema,verified,miss,73,51,86,0.0,1877,False,Baja,95,"74,02,39,82,64",p_20260509_1642
p_20260509_203214,2026-05-09,Nacional Noche,13,51,61,53.03,Sistema,verified,miss,84,37,17,0.0,1857,False,Baja,99,"13,51,61,87,96",p_20260509_2032
p_20260510_164234,2026-05-10,Gana Más,64,67,93,54.35,Sistema,verified,miss,70,81,90,0.0,1878,False,Baja,87,"64,67,93,20,46",p_20260510_1642
p_20260510_203458,2026-05-10,Nacional Noche,74,84,41,53.08,Sistema,verified,miss,38,10,27,0.0,1858,False,Baja,87,"74,84,41,81,94",p_20260510_2034
p_20260511_172005,2026-05-11,Gana Más,86,51,73,53.81,Sistema,verified,miss,31,87,69,0.0,1879,False,Baja,84,"86,51,73,94,65",p_20260511_1720
p_20260511_210743,2026-05-11,Nacional Noche,38,37,40,57.79,Sistema,verified,miss,02,34,98,0.0,1859,False,Baja,97,"38,37,40,27,17",p_20260511_2107
p_20260512_175324,2026-05-12,Gana Más,20,36,84,59.8,Sistema,verified,miss,48,10,95,0.0,1880,False,Baja,99,"20,36,84,94,65",p_20260512_1753
p_20260512_210817,2026-05-12,Nacional Noche,67,37,84,50.25,Sistema,verified,miss,88,83,63,0.0,1860,False,Baja,99,"67,37,84,36,27",p_20260512_2108
p_20260513_175515,2026-05-13,Gana Más,70,74,48,65.97,Sistema,verified,miss,90,78,80,0.0,1881,False,Baja,82,"70,74,48,79,81",p_20260513_1755
